"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","UK_retailPrice","weight","thumbnailURL","imageURL"
2199,"Cargo Crane",1995,"Trains","Modern day","9V","Normal",TRUE,282,2,"https://brickset.com/sets/4552-1",4.6,4,"Box","Retail",NA,38.5,NA,NA,"https://images.brickset.com/sets/small/4552-1.jpg","https://images.brickset.com/sets/images/4552-1.jpg"
2202,"Cargo Station",1995,"Trains","Modern day","9V","Normal",TRUE,389,3,"https://brickset.com/sets/4555-1",4.3,4,"Box","Retail",NA,66,NA,NA,"https://images.brickset.com/sets/small/4555-1.jpg","https://images.brickset.com/sets/images/4555-1.jpg"
2480,"Duplo Long Beams 2 x 8 Red and Yellow",1995,"Service Packs","Miscellaneous","Duplo","Normal",TRUE,4,NA,"https://brickset.com/sets/5088-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5088-1.jpg","https://images.brickset.com/sets/images/5088-1.jpg"
2518,"Space Port Accessories (Launch Command Accessories)",1995,"Service Packs","Miscellaneous","Town","Normal",TRUE,31,NA,"https://brickset.com/sets/5125-1",0,0,"Polybag","LEGO exclusive",NA,3,NA,NA,"https://images.brickset.com/sets/small/5125-1.jpg","https://images.brickset.com/sets/images/5125-1.jpg"
2519,"Crane and Digger Accessories",1995,"Service Packs","Miscellaneous",NA,"Normal",TRUE,18,NA,"https://brickset.com/sets/5126-1",0,0,"Polybag","LEGO exclusive",NA,3.5,NA,NA,"https://images.brickset.com/sets/small/5126-1.jpg","https://images.brickset.com/sets/images/5126-1.jpg"
2520,"Antennas and Control Sticks",1995,"Service Packs","Miscellaneous",NA,"Normal",TRUE,37,NA,"https://brickset.com/sets/5127-1",0,0,"Polybag","LEGO exclusive",NA,3,NA,NA,"https://images.brickset.com/sets/small/5127-1.jpg","https://images.brickset.com/sets/images/5127-1.jpg"
2525,"Wheels, Bearings and Suspension",1995,"Service Packs","Miscellaneous",NA,"Normal",TRUE,32,NA,"https://brickset.com/sets/5132-1",0,2,"Polybag","LEGO exclusive",NA,3.5,NA,NA,"https://images.brickset.com/sets/small/5132-1.jpg","https://images.brickset.com/sets/images/5132-1.jpg"
2527,"Pirate Cannons with Wheels",1995,"Service Packs","Miscellaneous","Pirates","Normal",TRUE,28,NA,"https://brickset.com/sets/5134-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5134-1.jpg","https://images.brickset.com/sets/images/5134-1.jpg"
2528,"Castle Accessories",1995,"Service Packs","Miscellaneous","Castle","Normal",TRUE,30,NA,"https://brickset.com/sets/5135-1",0,1,"Polybag","LEGO exclusive",NA,3.5,NA,NA,"https://images.brickset.com/sets/small/5135-1.jpg","https://images.brickset.com/sets/images/5135-1.jpg"
2529,"Belville Accessories",1995,"Service Packs","Miscellaneous","Belville","Normal",TRUE,10,NA,"https://brickset.com/sets/5136-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5136-1.jpg","https://images.brickset.com/sets/images/5136-1.jpg"
2554,"Aquazone Accessories",1995,"Service Packs","Miscellaneous","Aquazone","Normal",TRUE,18,NA,"https://brickset.com/sets/5160-1",0,0,"Polybag","LEGO exclusive",NA,3,NA,NA,"https://images.brickset.com/sets/small/5160-1.jpg","https://images.brickset.com/sets/images/5160-1.jpg"
2662,"Small Low Profile Tyres",1995,"Service Packs","Miscellaneous",NA,"Normal",TRUE,8,NA,"https://brickset.com/sets/5268-1",0,0,"Polybag","LEGO exclusive",NA,4,NA,NA,"https://images.brickset.com/sets/small/5268-1.jpg","https://images.brickset.com/sets/images/5268-1.jpg"
2663,"Lift-Arms and Triangles",1995,"Service Packs","Miscellaneous","Technic","Normal",TRUE,12,NA,"https://brickset.com/sets/5269-1",0,0,"Polybag","LEGO exclusive",NA,3.25,NA,NA,"https://images.brickset.com/sets/small/5269-1.jpg","https://images.brickset.com/sets/images/5269-1.jpg"
2681,"Plates and Gear Racks",1995,"Service Packs","Miscellaneous","Technic","Normal",TRUE,18,NA,"https://brickset.com/sets/5287-1",0,0,"Polybag","LEGO exclusive",NA,4,NA,NA,"https://images.brickset.com/sets/small/5287-1.jpg","https://images.brickset.com/sets/images/5287-1.jpg"
2682,"Gear Blocks, Housings and Axles",1995,"Service Packs","Miscellaneous",NA,"Normal",TRUE,12,NA,"https://brickset.com/sets/5288-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5288-1.jpg","https://images.brickset.com/sets/images/5288-1.jpg"
2804,"Blue Fury",1995,"Model Team","Model making",NA,"Normal",TRUE,421,NA,"https://brickset.com/sets/5541-1",4.7,3,"Box","Retail",NA,39.5,NA,NA,"https://images.brickset.com/sets/small/5541-1.jpg","https://images.brickset.com/sets/images/5541-1.jpg"
2872,"Vanity Fun",1995,"Belville","Girls",NA,"Normal",TRUE,23,1,"https://brickset.com/sets/5810-1",0,0,"{Not specified}","{Not specified}",NA,5.5,NA,NA,"https://images.brickset.com/sets/small/5810-1.jpg","https://images.brickset.com/sets/images/5810-1.jpg"
2883,"Fun-Day Sundaes",1995,"Belville","Girls",NA,"Normal",TRUE,29,2,"https://brickset.com/sets/5830-1",0,0,"{Not specified}","{Not specified}",NA,11,NA,NA,"https://images.brickset.com/sets/small/5830-1.jpg","https://images.brickset.com/sets/images/5830-1.jpg"
2892,"Garden Playmates",1995,"Belville","Girls",NA,"Normal",TRUE,87,1,"https://brickset.com/sets/5840-1",0,0,"{Not specified}","{Not specified}",NA,19.75,NA,NA,"https://images.brickset.com/sets/small/5840-1.jpg","https://images.brickset.com/sets/images/5840-1.jpg"
2977,"Royal King",1995,"Castle","Historical","Royal Knights","Normal",TRUE,10,1,"https://brickset.com/sets/6008-1",3.5,7,"Box","Retail",NA,3,NA,NA,"https://images.brickset.com/sets/small/6008-1.jpg","https://images.brickset.com/sets/images/6008-1.jpg"
